
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        176 K
Registry                       320 Services                   0     65,548 K
smss.exe                       836 Services                   0      1,672 K
csrss.exe                      984 Services                   0      7,436 K
wininit.exe                    936 Services                   0      9,260 K
csrss.exe                      816 Console                    1      6,788 K
services.exe                  1076 Services                   0     13,172 K
lsass.exe                     1084 Services                   0     37,168 K
winlogon.exe                  1168 Console                    1     12,728 K
svchost.exe                   1288 Services                   0     33,880 K
fontdrvhost.exe               1332 Services                   0      5,044 K
fontdrvhost.exe               1340 Console                    1      4,948 K
svchost.exe                   1380 Services                   0     18,336 K
svchost.exe                   1476 Services                   0     50,944 K
svchost.exe                   1600 Services                   0   4,70,040 K
svchost.exe                   1648 Services                   0      6,944 K
svchost.exe                   1728 Services                   0     11,136 K
svchost.exe                   1760 Services                   0     18,592 K
svchost.exe                   1788 Services                   0     13,000 K
svchost.exe                   1796 Services                   0     15,000 K
IntelCpHDCPSvc.exe            1884 Services                   0      7,836 K
LogonUI.exe                   1940 Console                    1   1,04,536 K
dwm.exe                       1948 Console                    1   1,06,452 K
svchost.exe                   1108 Services                   0     12,212 K
svchost.exe                   2072 Services                   0     24,304 K
svchost.exe                   2152 Services                   0     10,288 K
svchost.exe                   2160 Services                   0      7,584 K
svchost.exe                   2168 Services                   0     10,476 K
svchost.exe                   2180 Services                   0     14,780 K
svchost.exe                   2304 Services                   0     10,424 K
svchost.exe                   2412 Services                   0     10,792 K
svchost.exe                   2456 Services                   0     16,220 K
svchost.exe                   2500 Services                   0     10,532 K
svchost.exe                   2516 Services                   0     10,632 K
svchost.exe                   2536 Services                   0      9,708 K
svchost.exe                   2692 Services                   0      8,516 K
svchost.exe                   2792 Services                   0     25,388 K
svchost.exe                   2860 Services                   0      9,260 K
spaceman.exe                  2968 Services                   0      1,632 K
svchost.exe                   2988 Services                   0     12,188 K
svchost.exe                   2320 Services                   0     22,116 K
svchost.exe                   3104 Services                   0     15,456 K
spoolsv.exe                   3176 Services                   0     22,340 K
svchost.exe                   3236 Services                   0     27,904 K
svchost.exe                   3324 Services                   0     10,596 K
svchost.exe                   3436 Services                   0      9,828 K
svchost.exe                   3760 Services                   0      9,404 K
svchost.exe                   3792 Services                   0     10,808 K
svchost.exe                   4004 Services                   0     18,424 K
svchost.exe                   4016 Services                   0     64,720 K
svchost.exe                   4032 Services                   0     14,572 K
svchost.exe                   4040 Services                   0      8,944 K
svchost.exe                   4052 Services                   0     14,140 K
svchost.exe                   4060 Services                   0     14,400 K
svchost.exe                   4076 Services                   0      7,232 K
svchost.exe                   4084 Services                   0     19,932 K
OneApp.IGCC.WinService.ex     4092 Services                   0     46,036 K
svchost.exe                   3036 Services                   0     21,920 K
svchost.exe                   3048 Services                   0     24,560 K
svchost.exe                   2936 Services                   0      9,872 K
pg_ctl.exe                    3848 Services                   0      7,992 K
svchost.exe                   4452 Services                   0     11,068 K
postgres.exe                  4868 Services                   0     26,472 K
conhost.exe                   4876 Services                   0      9,404 K
svchost.exe                   5032 Services                   0      6,764 K
postgres.exe                  5108 Services                   0     11,556 K
postgres.exe                  4648 Services                   0     14,120 K
postgres.exe                  4596 Services                   0     11,852 K
postgres.exe                  3816 Services                   0     12,100 K
postgres.exe                  3856 Services                   0     16,184 K
postgres.exe                  4764 Services                   0     13,084 K
postgres.exe                  5020 Services                   0     15,996 K
postgres.exe                  2948 Services                   0     12,636 K
postgres.exe                  5080 Services                   0     12,520 K
svchost.exe                   5280 Services                   0      9,560 K
AggregatorHost.exe            5376 Services                   0     12,168 K
svchost.exe                   5656 Services                   0      9,776 K
svchost.exe                   5980 Services                   0     14,820 K
csrss.exe                     6944 RDP-Tcp#1                  2      8,988 K
winlogon.exe                  6996 RDP-Tcp#1                  2     15,224 K
fontdrvhost.exe               7100 RDP-Tcp#1                  2     12,252 K
dwm.exe                       7124 RDP-Tcp#1                  2   2,02,112 K
rdpclip.exe                   2100 RDP-Tcp#1                  2     16,800 K
svchost.exe                   2612 RDP-Tcp#1                  2     21,872 K
